code,country,year,safelyManaged,accessOnPremises,availableWhenNeeded,freeFromContamination,piped,nonpiped
AFG,Afghanistan,2000,-,14,-,-,6,23
AFG,Afghanistan,2015,-,40,-,-,12,56
ALB,Albania,2000,43,61,49,96,76,21
ALB,Albania,2015,69,89,70,88,86,10
DZA,Algeria,2000,-,69,-,-,81,15
DZA,Algeria,2015,-,81,-,-,77,22
ASM,American Samoa,2000,-,78,-,-,97,1
ASM,American Samoa,2015,-,91,-,-,99,1
AND,Andorra,2000,-,100,-,-,100,0
AND,Andorra,2015,-,100,-,-,100,0
AGO,Angola,2000,-,6,27,-,21,33
AGO,Angola,2015,-,23,28,-,29,28
AIA,Anguilla,2000,-,93,83,-,56,37
AIA,Anguilla,2015,-,98,88,-,98,0
ATG,Antigua and Barbuda,2000,-,83,91,-,98,0
ATG,Antigua and Barbuda,2015,-,75,90,-,94,2
ARG,Argentina,2000,98,98,-,98,98,1
ARG,Argentina,2015,99,99,-,99,100,0
ARM,Armenia,2000,27,89,32,82,88,9
ARM,Armenia,2015,61,98,61,84,98,2
ABW,Aruba,2000,-,93,-,-,91,3
ABW,Aruba,2015,-,96,-,-,94,4
AUS,Australia,2000,-,97,90,-,84,15
AUS,Australia,2015,-,98,96,-,91,8
AUT,Austria,2000,98,100,99,98,-,-
AUT,Austria,2015,99,100,99,99,-,-
AZE,Azerbaijan,2000,51,60,83,51,52,31
AZE,Azerbaijan,2015,72,72,91,79,77,15
BHS,Bahamas,2000,-,98,98,-,96,2
BHS,Bahamas,2015,-,96,98,-,95,2
BHR,Bahrain,2000,99,99,-,99,97,2
BHR,Bahrain,2015,99,99,-,99,-,-
BGD,Bangladesh,2000,56,64,-,56,7,89
BGD,Bangladesh,2015,56,77,-,56,14,84
BRB,Barbados,2000,-,98,89,-,97,2
BRB,Barbados,2015,-,98,89,-,98,0
BLR,Belarus,2000,79,81,-,99,82,17
BLR,Belarus,2015,94,94,-,97,89,11
BEL,Belgium,2000,100,100,-,100,100,0
BEL,Belgium,2015,98,99,-,100,100,0
BLZ,Belize,2000,-,85,-,-,65,24
BLZ,Belize,2015,-,95,-,-,83,15
BEN,Benin,2000,-,41,-,-,41,27
BEN,Benin,2015,-,27,-,-,42,34
BMU,Bermuda,2000,-,100,-,-,100,0
BMU,Bermuda,2015,-,100,-,-,100,0
BTN,Bhutan,2000,27,67,-,27,79,4
BTN,Bhutan,2015,34,87,-,34,100,0
BOL,Bolivia (Plurinational State of),2000,-,71,68,-,74,6
BOL,Bolivia (Plurinational State of),2015,-,92,78,-,74,19
BIH,Bosnia and Herzegovina,2000,87,91,87,91,84,14
BIH,Bosnia and Herzegovina,2015,89,91,89,98,90,10
BWA,Botswana,2000,-,61,-,-,89,7
BWA,Botswana,2015,-,64,-,-,90,7
BRA,Brazil,2000,-,84,-,-,86,8
BRA,Brazil,2015,-,97,-,-,96,2
VGB,British Virgin Islands,2000,-,93,-,-,91,4
VGB,British Virgin Islands,2015,-,98,-,-,96,4
BRN,Brunei Darussalam,2000,-,-,-,-,-,-
BRN,Brunei Darussalam,2015,-,99,-,-,99,0
BGR,Bulgaria,2000,97,100,-,99,95,5
BGR,Bulgaria,2015,97,97,-,99,99,0
BFA,Burkina Faso,2000,-,3,52,-,22,46
BFA,Burkina Faso,2015,-,15,55,-,26,50
BDI,Burundi,2000,-,5,-,-,14,58
BDI,Burundi,2015,-,7,-,-,33,43
CPV,Cabo Verde,2000,-,60,-,-,68,21
CPV,Cabo Verde,2015,-,81,-,-,90,7
KHM,Cambodia,2000,17,37,-,17,7,45
KHM,Cambodia,2015,24,58,-,24,21,54
CMR,Cameroon,2000,-,8,-,-,39,25
CMR,Cameroon,2015,-,29,-,-,39,36
CAN,Canada,2000,-,99,-,-,-,-
CAN,Canada,2015,-,98,-,-,70,29
BES,Caribbean Netherlands,2000,-,-,-,-,-,-
BES,Caribbean Netherlands,2015,-,-,-,-,-,-
CYM,Cayman Islands,2000,-,-,-,-,-,-
CYM,Cayman Islands,2015,-,91,82,-,86,10
CAF,Central African Republic,2000,-,8,38,-,21,44
CAF,Central African Republic,2015,-,8,40,-,18,50
TCD,Chad,2000,-,15,-,-,17,33
TCD,Chad,2015,-,10,-,-,19,36
CHI,Channel Islands,2000,-,-,-,-,-,-
CHI,Channel Islands,2015,92,92,-,94,90,4
CHL,Chile,2000,92,92,94,95,94,2
CHL,Chile,2015,98,99,99,98,100,0
CHN,China,2000,-,63,-,-,48,30
CHN,China,2015,-,94,-,-,78,19
HKG,"China- Hong Kong Special Administrative Region",2000,98,98,-,99,97,1
HKG,"China- Hong Kong Special Administrative Region",2015,100,100,-,100,100,0
MAC,"China- Macao Special Administrative Region",2000,100,100,100,100,100,0
MAC,"China- Macao Special Administrative Region",2015,100,100,100,100,100,0
COL,Colombia,2000,67,89,72,74,83,7
COL,Colombia,2015,71,96,74,79,88,9
COM,Comoros,2000,-,67,-,-,48,45
COM,Comoros,2015,-,65,-,-,63,27
COG,Congo,2000,30,31,-,35,52,15
COG,Congo,2015,37,37,-,42,57,24
COK,Cook Islands,2000,-,85,100,-,69,31
COK,Cook Islands,2015,-,87,100,-,75,25
CRI,Costa Rica,2000,70,94,79,70,90,4
CRI,Costa Rica,2015,90,100,90,95,99,1
CIV,Cote d'Ivoire,2000,36,39,-,44,43,37
CIV,Cote d'Ivoire,2015,46,54,-,47,50,30
HRV,Croatia,2000,89,89,-,95,85,14
HRV,Croatia,2015,90,97,-,90,100,0
CUB,Cuba,2000,-,80,-,-,74,21
CUB,Cuba,2015,-,93,-,-,79,18
CUW,Curaoao,2000,-,-,-,-,-,-
CUW,Curaoao,2015,-,99,-,-,99,1
CYP,Cyprus,2000,96,100,-,96,100,0
CYP,Cyprus,2015,100,100,-,100,100,0
CZE,Czech Republic,2000,96,96,-,98,96,3
CZE,Czech Republic,2015,98,98,-,99,100,0
PRK,Democratic People's Republic of Korea,2000,-,94,-,-,82,18
PRK,Democratic People's Republic of Korea,2015,-,94,-,-,90,10
COD,Democratic Republic of the Congo,2000,-,14,-,-,23,21
COD,Democratic Republic of the Congo,2015,-,9,-,-,31,23
DNK,Denmark,2000,94,97,-,94,100,0
DNK,Denmark,2015,97,97,-,98,100,0
DJI,Djibouti,2000,-,45,-,-,76,14
DJI,Djibouti,2015,-,46,-,-,80,12
DMA,Dominica,2000,-,66,51,-,92,2
DMA,Dominica,2015,-,75,53,-,95,2
DOM,Dominican Republic,2000,-,75,-,-,75,19
DOM,Dominican Republic,2015,-,92,-,-,80,17
